,Data,Time,con_sk
396,17.01.2019,12:00:00,652.0
397,17.01.2019,13:00:00,638.0
398,17.01.2019,14:00:00,612.0
399,17.01.2019,15:00:00,613.0
400,17.01.2019,16:00:00,619.0
401,17.01.2019,17:00:00,602.0
402,17.01.2019,18:00:00,654.0
403,17.01.2019,19:00:00,732.0
404,17.01.2019,20:00:00,733.0
405,17.01.2019,21:00:00,751.0
406,17.01.2019,22:00:00,726.0
407,17.01.2019,23:00:00,659.0
408,18.01.2019,0:00:00,650.0
409,18.01.2019,1:00:00,653.0
410,18.01.2019,2:00:00,534.0
411,18.01.2019,3:00:00,558.0
412,18.01.2019,4:00:00,548.0
413,18.01.2019,5:00:00,751.0
414,18.01.2019,6:00:00,538.0
415,18.01.2019,7:00:00,613.0
416,18.01.2019,8:00:00,676.0
417,18.01.2019,9:00:00,731.0
418,18.01.2019,10:00:00,675.0
419,18.01.2019,11:00:00,701.0
420,18.01.2019,12:00:00,680.0
421,18.01.2019,13:00:00,650.0
422,18.01.2019,14:00:00,676.0
423,18.01.2019,15:00:00,683.0
424,18.01.2019,16:00:00,657.0
425,18.01.2019,17:00:00,660.0
426,18.01.2019,18:00:00,704.0
427,18.01.2019,19:00:00,740.0
428,18.01.2019,20:00:00,759.0
429,18.01.2019,21:00:00,734.0
430,18.01.2019,22:00:00,705.0
431,18.01.2019,23:00:00,668.0
432,19.01.2019,0:00:00,655.0
433,19.01.2019,1:00:00,609.0
434,19.01.2019,2:00:00,588.0
435,19.01.2019,3:00:00,602.0
436,19.01.2019,4:00:00,556.0
437,19.01.2019,5:00:00,544.0
438,19.01.2019,6:00:00,555.0
439,19.01.2019,7:00:00,583.0
440,19.01.2019,8:00:00,606.0
441,19.01.2019,9:00:00,647.0
442,19.01.2019,10:00:00,686.0
443,19.01.2019,11:00:00,662.0
444,19.01.2019,12:00:00,691.0
445,19.01.2019,13:00:00,649.0
446,19.01.2019,14:00:00,610.0
447,19.01.2019,15:00:00,640.0
448,19.01.2019,16:00:00,647.0
449,19.01.2019,17:00:00,634.0
450,19.01.2019,18:00:00,641.0
451,19.01.2019,19:00:00,761.0
452,19.01.2019,20:00:00,771.0
453,19.01.2019,21:00:00,736.0
454,19.01.2019,22:00:00,691.0
455,19.01.2019,23:00:00,687.0
456,20.01.2019,0:00:00,645.0
457,20.01.2019,1:00:00,605.0
458,20.01.2019,2:00:00,576.0
459,20.01.2019,3:00:00,573.0
460,20.01.2019,4:00:00,547.0
461,20.01.2019,5:00:00,572.0
462,20.01.2019,6:00:00,561.0
463,20.01.2019,7:00:00,595.0
464,20.01.2019,8:00:00,640.0
465,20.01.2019,9:00:00,647.0
466,20.01.2019,10:00:00,673.0
467,20.01.2019,11:00:00,701.0
468,20.01.2019,12:00:00,681.0
469,20.01.2019,13:00:00,720.0
470,20.01.2019,14:00:00,746.0
471,20.01.2019,15:00:00,687.0
472,20.01.2019,16:00:00,701.0
473,20.01.2019,17:00:00,712.0
474,20.01.2019,18:00:00,722.0
475,20.01.2019,19:00:00,781.0
476,20.01.2019,20:00:00,780.0
477,20.01.2019,21:00:00,774.0
478,20.01.2019,22:00:00,712.0
479,20.01.2019,23:00:00,714.0
480,21.01.2019,0:00:00,666.0
481,21.01.2019,1:00:00,622.0
482,21.01.2019,2:00:00,605.0
483,21.01.2019,3:00:00,610.0
484,21.01.2019,4:00:00,597.0
485,21.01.2019,5:00:00,619.0
486,21.01.2019,6:00:00,648.0
487,21.01.2019,7:00:00,692.0
488,21.01.2019,8:00:00,707.0
489,21.01.2019,9:00:00,731.0
490,21.01.2019,10:00:00,716.0
491,21.01.2019,11:00:00,706.0
492,21.01.2019,12:00:00,721.0
493,21.01.2019,13:00:00,713.0
494,21.01.2019,14:00:00,711.0
495,21.01.2019,15:00:00,682.0
496,21.01.2019,16:00:00,688.0
497,21.01.2019,17:00:00,686.0
498,21.01.2019,18:00:00,643.0
499,21.01.2019,19:00:00,840.0
500,21.01.2019,20:00:00,813.0
501,21.01.2019,21:00:00,781.0
502,21.01.2019,22:00:00,768.0
503,21.01.2019,23:00:00,688.0
